Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed;SolarNoonAngle
40210;0;34;24.3;0.3;9.5;29.5;49.5;2.266667;-10.81028382
40211;0;34;24.9;4.3;11;29.02;45.25;2.033333;-10.54593084
40212;0;36.4;23.2;10.1;10.2;29.92;41.5;2.6;-10.27636974
40213;0;37.8;23.7;9.7;11.9;30.86;37.5;2.2;-10.00168038
40214;0;37.8;22.6;11.2;;30.72;37;3.2;-9.721944169
40215;0;38.4;23.3;9.6;11.5;31.34;34.25;2.066667;-9.437243995
40216;0;37.9;25.4;6.2;13;31.42;38.25;1.2;-9.14766422
40217;0;32.2;22.3;0.2;12.4;25.86;87;1;-8.853290655
40218;42;31.8;22;2.3;2;25.64;76.25;0.833333;-8.554210528
40219;0.5;33.2;23.6;4.6;2;28.44;56.5;1.3;-8.250512463
40220;0;34.6;22.8;10.5;4.9;28.68;45.5;2.133333;-7.942286453
40221;0;29.6;23.7;1.5;9.4;26.02;78;1.333333;-7.629623831
40222;0.2;33.4;22.8;6.2;2.2;26.56;64.75;1.966667;-7.312617246
40223;9.6;35;22.8;10.5;4.3;28.6;49.5;1.3;-6.991360634
40224;0;33.8;23.8;7.3;6.3;28.32;50.75;1.1;-6.66594919
40225;0;34.5;24.1;3.4;7.1;29.12;48.75;2.6;-6.336479341
40226;0;36;23.8;4.1;9;29.64;45.25;2.2;-6.003048715
40227;0;37.8;25.7;10.2;8.8;31.38;35;3.166667;-5.665756116
40228;0;38.4;24.1;9.2;12.1;31.94;33.75;3.033333;-5.324701491
40229;0;37;26.7;9.9;13.8;31.3;37;3.133333;-4.9799859
40230;0;37.5;23.8;9;11.1;30.74;32.75;3.166667;-4.631711492
40231;0;37.3;24.8;7.5;11.1;28.66;63.75;2.533333;-4.279981467
40232;25.6;35.8;23.3;9.2;6;27.98;63.75;1.733333;-3.92490005
40233;50.8;33.2;23.7;5.7;6.4;27.82;52.5;1.866667;-3.56657246
40234;0;34;22.8;5.8;3.6;28.08;56.5;1.6;-3.205104877
40235;0;36.3;22.7;9.6;6.9;28.32;52.5;1.366667;-2.840604411
40236;0;36;22.8;10.1;6.2;28.28;52.25;3.9;-2.473179073
40237;1.4;35;24.5;8.4;5.7;29.1;56.25;0.8;-2.102937737
40238;0;35.3;23.2;9.7;4.6;28.78;53.25;1.466667;-1.729990115
40239;0;36.8;23.7;10;5.4;29.7;47.5;1.333333;-1.354446718
40240;0;37;22.8;9.4;8.1;29.6;46.75;1.1;-0.976418829
40241;0;36.6;23.3;7.9;7.8;29.54;46.75;2.333333;-0.596018466
40242;0;34.2;23.1;5.9;7.1;28.54;63.25;2.333333;-0.213358348
40243;2.2;34.3;23.5;8.1;4.3;28.6;58.25;1.8;0.171448133
40244;8.4;32.5;22.8;3.9;4.5;26.3;79.75;2.233333;0.558286951
40245;0;35.3;23.7;8.6;2.3;28.64;55.25;1.966667;0.947043477
40246;0;36.6;23.3;11.2;6.1;29.18;53.25;2.133333;1.337602514
40247;0.6;36.3;24.3;10.2;8.8;29.24;49.75;1.6;1.729848332
40248;0;37.1;22.6;10.9;6.7;29.7;48.25;1.3;2.123664699
40249;0.5;36.1;23.8;7.8;7.1;28.7;54.25;2.033333;2.518934919
40250;0;37.3;23.6;11.3;7.4;30.7;44.5;1.766667;2.915541865
40251;0;36.5;25.3;8.4;7.5;30.16;43.5;1.9;3.313368013
40252;0;37.3;23.1;10.5;9.8;30.16;45;1.766667;3.71229548
40253;0;38.2;26.3;8.9;11.1;31.82;36.25;2.9;4.112206054
40254;0;38.1;23.8;11.3;10.4;31.02;34.25;2.9;4.512981234
40255;0;35.6;23.5;3.7;10.6;27.5;63.25;1.5;4.914502261
40256;1.6;34.8;22.8;4.9;6.1;27.32;66.75;1.666667;5.316650155
40257;0;35.5;23.3;4.8;5.8;27.44;72;2.8;5.719305752
40258;21.3;27.6;22;0;3.3;24.6;85.5;1.166667;6.122349736
40259;2;34.3;23.1;8.4;1.2;28.26;55.75;1.733333;6.525662676
40260;0;33.1;23.1;3.9;5.1;26;87;1.666667;6.929125062
40261;13.4;33.4;22.7;9;2.4;26.9;69.5;1.533333;7.33261734
40262;0;34.8;22.8;10.6;4.4;28.04;55.75;1.366667;7.736019946
40263;0;33.6;23.9;7.9;7.2;28.38;54;1.9;8.139213342
40264;0;34;23.1;5.8;5.9;27.46;58.75;1.633333;8.542078055
40265;0.6;34;23.5;6;4;27.26;84.25;1.7;8.944494707
40266;120.9;27.6;21.8;0;2.8;24.56;80.75;1.4;9.346344052
40267;0.3;34.1;22.5;9.9;1.6;27.2;65;1.433333;9.747507015
40268;0;34.3;23.3;9.5;4.3;27.64;64.75;1.4;10.14786472
40269;6;34;23.8;7.5;4.1;28.04;67;1.966667;10.54729854
40270;12.2;32.2;23.1;4.4;4.2;27.02;66;1.333333;10.9456901
40271;1.1;32.5;22.8;3.5;3.9;26.9;72.5;1.433333;11.34292136
40272;7.6;29.4;24.6;0.7;4.1;26.2;79;1.233333;11.73887461
40273;0;34.2;23.3;8.6;1.7;27.62;68;0.666667;12.13343252
40274;0;32.8;24.6;6.5;4.8;27.72;71.25;1.533333;12.52647817
40275;0;33.2;22.8;9.8;3;27.96;61;1.3;12.9178951
40276;0;33.2;23.7;6.6;4;27.02;71;1.3;13.30756731
40277;99.3;32.6;22;3;1.5;25.92;75.25;1.1;13.69537935
40278;0;31;23.6;5.5;2.3;26.92;74.25;1.7;14.08121629
40279;1.3;28.5;23.3;0.7;3;25.08;85.5;0.8;14.4649638
40280;12.6;30.6;22.8;8.3;1.4;26.32;65;1.9;14.84650818
40281;5.6;31;21.8;6.4;2.3;26.28;69;1.666667;15.22573635
40282;0;31.8;23.8;8.4;2.3;27.34;65.25;2.066667;15.60253595
40283;0;32.8;22.8;8.1;2.5;27.16;66;1.033333;15.97679532
40284;0;33.2;23.3;8.4;4.2;27.14;69.75;1.166667;16.34840357
40285;1.6;34;22.8;10.3;3.9;28;59.75;1.233333;16.71725057
40286;0;33;24.6;7;4.9;27.48;81.5;1.566667;17.08322702
40287;5.8;33.2;24.1;10.9;3.5;27.98;59.75;1.433333;17.44622449
40288;0;32.8;22.9;8.9;2.8;27.3;56.5;1.4;17.80613541
40289;0;31.5;22.2;6.3;3.1;26.82;68.5;1.6;18.16285313
40290;0;34;22.7;10.1;2.6;28.02;54.75;1.133333;18.51627194
40291;0;33.6;22.3;6.3;3.3;26.58;70;0.9;18.86628712
40292;0;33.5;23.7;8.8;4;27.72;57.5;1.3;19.21279496
40293;0;33.5;21.8;10.7;5.3;27.14;55.25;2.1;19.55569277
40294;0;33.1;22.7;10.6;7.2;26.76;53.75;1.433333;19.89487894
40295;0;34.8;20.3;10.9;6.3;27.98;47.75;1.2;20.23025298
40296;0;34.6;22.2;10.9;7.5;28.36;49.5;1.733333;20.56171549
40297;0;35.6;22.3;10.6;6.8;28.34;50;1.366667;20.88916827
40298;0;34.8;22.5;10.6;9.2;27.94;52.5;1.166667;21.21251427
40299;0;34.8;20.8;10.7;7.1;27.56;51.25;1.1;21.53165769
40300;0;35;21.6;10.7;6.5;27.92;51.75;1.3;21.84650396
40301;0;32.8;21.3;10.4;6.6;26.62;57;1.6;22.15695977
40302;0;33.2;21;8.1;4.9;27.28;56.5;1.7;22.46293315
40303;0;34.1;21.8;8.2;3.4;27.94;57.25;1.666667;22.76433341
40304;0;33.4;22.7;8.6;7.3;27.6;59.5;1.266667;23.06107124
40305;0;35.6;21.6;10.7;6.1;28;45.75;1.833333;23.35305873
40306;0;34.2;20.4;5.5;5.9;26.48;48;1.1;23.64020934
40307;0;35.3;19.8;10.7;7.5;27.66;45.5;1.766667;23.92243799
40308;0;36.4;21.6;10.2;6.4;28.68;44;1.7;24.19966104
40309;0;35.6;22.3;10.7;6.8;28.7;48;1.3;24.47179635
40310;0;35.6;22.6;10.2;6.1;28.56;49;1;24.73876328
40311;0;34.6;22.3;6.6;6.3;27.82;58;1.833333;25.00048272
40312;0;33.4;24.7;3.6;6.1;28.12;61.25;0.9;25.25687713
40313;0;35.4;22.2;11;4.9;27.92;44.75;1.9;25.50787051
40314;0;36;20.2;10.8;7.4;28.76;35.5;2.433333;25.7533885
40315;0;36.1;21.6;11;7.3;27.86;44;1.366667;25.99335835
40316;0;35.1;20.3;10.9;5.8;27.26;43;1.533333;26.22770894
40317;0;32.2;20.3;5.5;6.6;26.78;51.25;2.233333;26.45637084
40318;0.8;35.3;20.5;9.6;6;27.44;41;1.733333;26.67927629
40319;0;35.6;19.6;10.8;6.5;27.28;44;1.2;26.89635923
40320;0;36;19.8;10.5;5;27.56;48.25;1.366667;27.10755534
40321;0;36.6;21.6;10.6;7.4;29.2;44;1.533333;27.31280204
40322;0;36.3;24.5;9.1;7.5;30.16;41.75;1.366667;27.51203851
40323;0;36.5;22.3;10.7;7.1;29.56;43.25;1.2;27.7052057
40324;0;36.1;21.2;10.8;7.7;28.38;45;1.3;27.89224639
40325;0;35.6;21.3;10.6;7.5;28.34;44.75;1.833333;28.07310514
40326;0;35.8;22.9;9.1;8.7;29.1;45.5;1.333333;28.24772837
40327;0;36.8;25.6;9;8.1;30.32;41.75;1.766667;28.41606433
40328;0;36.5;22.7;9.9;7.3;29.44;43;1.433333;28.57806313
40329;0;35.3;22.3;7;6.8;27.92;63.5;2.866667;28.73367678
40330;0;35.5;22.3;10.3;6.5;28.52;53.5;1.333333;28.88285916
40331;14;30.3;23.7;0.4;9;25.76;81.25;0.6;29.02556606
40332;0;32.4;22.3;5.1;1.3;27.5;52.25;3;29.16175521
40333;0;31.3;22;6.8;4.7;26.58;48.75;2.533333;29.29138624
40334;0;29.2;21.6;0.3;6.1;24.96;72;1.533333;29.41442073
40335;0;36;19.7;10.6;5;28.1;46.5;0.833333;29.53082225
40336;0;35.6;21.6;9.8;7.7;27.4;53.5;3.433333;29.64055628
40337;0;34.8;24.7;8.9;7;28.94;50.75;3.4;29.74359031
40338;0;33.8;21.5;10.7;7;27.02;51.75;2.8;29.83989382
40339;0;33.8;21.4;10.1;8;26.86;54.75;3.166667;29.92943827
40340;0;32.4;21.5;10;7.3;26.38;52;2.2;30.01219712
40341;0;35;18.8;10.8;6.1;27.6;41;2.4;30.08814585
40342;0;33.4;19.9;10.7;7;26.74;44.25;3.166667;30.15726195
40343;0;33.2;19.3;9.5;6.2;26.02;42;2.1;30.21952494
40344;0;31.5;21.6;7.1;7.1;26.58;49;2.5;30.27491638
40345;0;33.1;21.8;7.2;9.1;28.14;44.5;3.1;30.32341985
40346;0;32.6;23.8;3.8;9;28.16;51.5;3;30.36502097
40347;0;31.6;24.1;1.3;4.9;27.62;57.25;2.366667;30.39970742
40348;0;33;21.3;7.2;3.8;27.18;52.25;2.533333;30.42746893
40349;0;34.3;20.4;9.8;6.7;27.86;43;3.266667;30.44829726
40350;0;35.8;19.6;10.9;9.8;26.28;42.25;2.733333;30.46218624
40351;0;35.4;16;10.8;8.6;25.8;55;0.9;30.46913176
40352;0;36;19.8;10.2;8.3;28.48;48.5;2.433333;30.46913176
40353;0;33.5;24.7;10.8;10.1;28;44.5;3.5;30.46218624
40354;0;33.1;18.1;9.9;9.6;26.24;57;2.566667;30.44829726
40355;0;35;18.6;10.7;8.8;27.08;40.5;3.133333;30.42746893
40356;0;29.5;22.6;0.1;10.2;26.02;61.5;3.3;30.39970742
40357;0;30.3;22.8;1.3;7.8;26.74;49.75;2.166667;30.36502097
40358;0;34.1;18.6;10.6;5;27.22;43.5;3.433333;30.32341985
40359;0;34.2;23.7;10.8;11.4;28.34;39.5;3.633333;30.27491638
40360;0;34.5;19.7;9.9;10.9;27.12;47;2.5;30.21952494
40361;0;35;20.5;8.7;10.5;28.06;43;3.25;30.15726195
40362;0;34.5;18.4;10.7;11.4;27.14;43;2.8;30.08814585
40363;0;34;19.7;10.7;10.1;27.26;57;3;30.01219712
40364;0;33.5;17.7;10.4;11.4;25.76;57;3.05;29.92943827
40365;0;32.5;21.4;8.8;11.8;26.98;48;2.2;29.83989382
40366;0;34;17.5;10.8;11.2;26.5;45;2.2;29.74359031
40367;0;33.5;22.9;7;11.2;28.84;49;1.8;29.64055628
40368;0;36;22.9;10.7;11.4;29.34;50;2.05;29.53082225
40369;0;34.8;23.3;7.8;11;28.46;53;1.6;29.41442073
40370;0;33.3;20.8;9.9;9.9;27.46;51;1.6;29.29138624
40371;0;34.5;21;8;10.9;27.94;57;2.4;29.16175521
40372;0;32.8;21.6;3.4;11.4;27.44;66;1.3;29.02556606
40373;0;35.5;22.5;7.1;7;28.56;44;1.45;28.88285916
40374;0;35;22.7;9.7;11.2;28.9;33;2.05;28.73367678
40375;0;34;20.2;9.9;10.7;28;49;1.4;28.57806313
40376;0;35;22.8;8.6;12;28.72;52;2.4;28.41606433
40377;0;34.6;20.4;10.2;12.4;27.96;43;1.8;28.24772837
40378;0;33.8;22.5;10.6;12.2;27.38;50;1.6;28.07310514
40379;0;34;19.7;9.7;10.9;27.02;49;1.65;27.89224639
40380;0;34.5;19.5;10;9.7;27.6;50;2.55;27.7052057
40381;0;34;21.7;10.8;11.9;27.7;46;2.45;27.51203851
40382;0;34;20.2;10.2;11.1;26.88;48;3.3;27.31280204
40383;0;33.6;19.7;10.8;12.4;27.1;44;2.8;27.10755534
40384;0;34;20.4;10;11.7;27.8;46;2.8;26.89635923
40385;0;33;22.7;5.4;11.9;26.78;53;1.45;26.67927629
40386;0;33.8;19.6;11;9.3;27.16;47;3.2;26.45637084
40387;0;34;19;9.9;12.9;27;48;2;26.22770894
40388;0;33.9;21;8.5;11;26.86;57;2.65;25.99335835
40389;0;33;19.3;10.5;10.7;26.3;54;3.7;25.7533885
40390;0;33.8;18.6;10.7;10.1;26.68;43.5;3.266667;25.50787051
40391;0;34.8;17.4;10.9;10.4;26.56;42.5;2.433333;25.25687713
40392;0;36.1;21;10.9;11.9;27.82;45.25;2.833333;25.00048272
40393;0;34.6;20.6;10.6;11.3;27.44;42;2.866667;24.73876328
40394;0;34.5;18.8;10.5;11.7;27.26;45.75;3.333333;24.47179635
40395;0;34.6;19.5;10.3;12;27.9;45.25;3.133333;24.19966104
40396;0;34.6;21.2;10.9;13;27.08;45.75;1.533333;23.92243799
40397;0;34.8;19.3;9.4;11.8;27.98;40.5;2.433333;23.64020934
40398;0;34.2;21;11;12;27.56;42.25;2.9;23.35305873
40399;0;34.8;19.8;11;12.3;27.52;44.5;2.133333;23.06107124
40400;0;35.3;21;10.5;11.6;28.22;46;2.033333;22.76433341
40401;0;33.5;21.6;10.9;11.7;27.1;42.5;3;22.46293315
40402;0;34.4;18.9;10.7;10.3;27.38;38;3.533333;22.15695977
40403;0;34.6;19.8;11;11;27.48;41;2.866667;21.84650396
40404;0;34.4;21;10;10.9;28;43.5;2.566667;21.53165769
40405;0;35.6;19.3;10.6;10.5;27.62;42.25;1.666667;21.21251427
40406;0;35.8;20.5;10.3;10.9;29.14;39.5;2.033333;20.88916827
40407;0;34.8;23.6;10.2;12;28.84;41.5;3.2;20.56171549
40408;0;32.6;23.1;9.2;10;26.76;44.25;2.866667;20.23025298
40409;0;32.8;20.8;11;10.3;26.56;40.25;2.533333;19.89487894
40410;0;34.1;20.5;11;11.1;27.16;39.5;2.533333;19.55569277
40411;0;35.1;20.1;11.1;11.3;27.76;39;3.066667;19.21279496
40412;0;34.6;22.7;10.9;11.4;27.94;44.25;2.133333;18.86628712
40413;0;34.4;22.3;10.7;11.3;27.54;42.25;2.866667;18.51627194
40414;0;35.3;20.1;11.1;10.1;28.36;40.25;2.433333;18.16285313
40415;0;35.8;22.2;11;11.8;29.16;39.25;2.4;17.80613541
40416;0;36.4;22.9;11.1;11.4;29.38;37.75;2.2;17.44622449
40417;0;37.1;20.8;11.1;12;29.18;35.5;2.066667;17.08322702
40418;0;36.5;23.1;11;12.4;29.52;35.5;2.066667;16.71725057
40419;0;36.6;21.8;10.9;11.8;29.44;36.75;2.3;16.34840357
40420;0;36.1;22.7;10.9;12;29.04;34.75;2.5;15.97679532
40421;0;35.1;22.6;10.2;11.7;28.58;39.5;3.233333;15.60253595
40422;0;34.1;22.2;9.4;11.7;28.34;42;2.65;15.22573635
40423;0;32.8;22.2;4.7;10;27.36;44;3.7;14.84650818
40424;0;34.8;21.8;10.9;9.5;28.2;42;3.15;14.4649638
40425;0;35.5;21.6;10.7;11;28.74;41;3.3;14.08121629
40426;0;36.3;20.8;11;11.3;28.46;41;2;13.69537935
40427;0;36.6;19.6;11.3;11.1;28.16;38;1.85;13.30756731
40428;0;35.3;21.8;11.3;12.3;28.42;38;2.75;12.9178951
40429;0;36.1;20.1;11.3;10.2;27.92;;2.3;12.52647817
40430;0;36.6;21.1;11.3;11.5;30.1;39;3.15;12.13343252
40431;0;36.3;22.8;11.2;13.1;29.86;36;4;11.73887461
40432;0;33.4;23.6;10.3;11.9;28.6;45;4;11.34292136
40433;0;34.6;21.1;8.9;11.1;27.7;46;3;10.9456901
40434;0;35.6;21.3;11.1;10.9;28.42;48;3.25;10.54729854
40435;0;35.1;23.6;11.1;10.5;29.06;47;3.75;10.14786472
40436;0;36.4;22.2;11.2;10.7;29.36;40;2.4;9.747507015
40437;0;36.4;22.8;11;11.3;29.2;37;3.6;9.346344052
40438;0;36.8;21.6;11.2;12.2;29.6;28;4;8.944494707
40439;0;37.4;22.2;10.3;12;30;35;3.4;8.542078055
40440;0;36.3;22.6;10.5;12.6;29.5;38;2.85;8.139213342
40441;0;35.5;22.8;10.8;10.2;28.62;39;3.35;7.736019946
40442;0;36.3;22.6;11.3;11.3;29.5;38;1.8;7.33261734
40443;0;37.2;22.8;11;11.9;30.2;38;2.3;6.929125062
40444;0;37.1;23.1;10.9;12.1;29.88;37;2.55;6.525662676
40445;0;37.4;23.2;11.3;12.5;30.4;35;3.55;6.122349736
40446;0;36.1;23.8;10.7;13.3;29.9;38;3.05;5.719305752
40447;0;37.6;22.6;11.3;11.4;30.56;36;2.75;5.316650155
40448;0;38.6;24.3;11.2;13.8;30.7;35;2.5;4.914502261
40449;0;39.8;22.4;10.7;14.1;32.48;30;2.2;4.512981234
40450;0;40.2;26.1;9.7;14.3;33.02;31;2.3;4.112206054
40451;0;38.5;26.4;10.9;13.3;32.26;33;1.95;3.71229548
40452;0;38.4;25.1;11.3;13.1;31.58;34.75;1.5;3.313368013
40453;0;39.6;24.7;11.1;12.3;31.7;27.5;1.866667;2.915541865
40454;0;39.8;23.1;9.6;13.8;32.74;25.25;1.433333;2.518934919
40455;0;40.2;24.7;11.2;14.9;32.24;27;2.366667;2.123664699
40456;0;38.4;23.3;11.2;14.2;30.7;28;2.366667;1.729848332
40457;0;40;22.9;11.1;12;31.46;27;1.8;1.337602514
40458;0;40;22.2;10.9;14.1;31.96;27.25;1.533333;0.947043477
40459;0;39.5;24;11;12.6;31.74;30.25;2.333333;0.558286951
40460;0;39.6;23.8;10.4;12.4;32.2;29.75;1.633333;0.171448133
40461;0;39;24.7;10;14;31.86;36;1.7;-0.213358348
40462;0;37.6;25.3;10;13.4;31.42;36;1.966667;-0.596018466
40463;0;38.8;24.9;10.6;12;32.82;30.75;1.7;-0.976418829
40464;0;39.8;25.1;11;11.7;32.3;30;2.266667;-1.354446718
40465;0;39.4;26.1;11;13.7;32.26;31.5;3.133333;-1.729990115
40466;0;38.2;24.1;11.1;12.8;31.34;32;3.033333;-2.102937737
40467;0;38.5;25.7;11;11.6;31.28;30.25;2.466667;-2.473179073
40468;0;39.4;22.2;11.1;13.1;31.96;27.75;2.2;-2.840604411
40469;0;39.3;25.7;10.9;13.9;31.76;38.5;1.8;-3.205104877
40470;0;37.9;25.8;9.4;12.2;31.82;39.75;2;-3.56657246
40471;0;38.3;25.8;9.6;11.2;30.7;45.75;1.333333;-3.92490005
40472;0;37.1;25.1;9.8;11.1;31.4;42;1.3;-4.279981467
40473;0;34.2;25.7;2.6;12.3;28.02;64.5;1.4;-4.631711492
40474;46.3;27.3;21.4;0.6;4.2;;83.25;1.366667;-4.9799859
40475;25.8;36.2;23.3;10.6;1.7;28.78;44;1.433333;-5.324701491
40476;0;36.8;24.8;9.6;6.7;30.28;41.75;1.9;-5.665756116
40477;0.8;32.4;24.8;3.1;9.3;27.24;61.75;1.8;-6.003048715
40478;3.6;35.3;22.8;10.3;7;29.42;46;1.1;-6.336479341
40479;0;34.1;25.5;4.3;8;27.72;68.75;2.433333;-6.66594919
40480;1.2;34.8;22.6;8.5;5;28.8;55.5;1.333333;-6.991360634
40481;5.2;36.1;23.9;6.4;6.6;28.16;64.25;1.433333;-7.312617246
40482;1.6;36.8;22.6;11.2;6.6;29.64;37;2.933333;-7.629623831
40483;0;36.4;21.6;11.7;10;29.08;39;2.333333;-7.942286453
40484;0;37.5;22;11.8;11.9;29.02;40.75;1.366667;-8.250512463
40485;0;37.1;22.8;11.3;10.4;30.3;36.75;1.633333;-8.554210528
40486;0;36.6;25.1;8.9;12.5;30.74;43.25;2.3;-8.853290655
40487;0;36.6;22;10.7;12.3;30.32;41;1.966667;-9.14766422
40488;0;37.5;23.7;11.6;13.2;30.28;38.75;2.7;-9.437243995
40489;0;37;22.2;10.2;13.2;30.2;39.25;1.733333;-9.721944169
40490;0;39.3;23.8;10.8;11.4;31.5;33.5;2.3;-10.00168038
40491;0;35.8;24.3;11.6;14.8;30.06;35.5;3.8;-10.27636974
40492;0;37;21.5;11.7;11.5;29.38;35.25;1.333333;-10.54593084
40493;0;37.4;21.3;10.6;11.8;29.98;38.75;2.233333;-10.81028382
40494;0;37.6;26.1;10.7;13.4;31.9;39.25;1.933333;-11.06935034
40495;0;38.3;23.8;10;14;30.42;44.25;1.933333;-11.32305363
40496;0.5;34.5;24.8;2.7;13.6;29.74;51.25;1.366667;-11.57131851
40497;0;35.3;23.8;6.8;6.2;28.62;57.25;1.566667;-11.81407143
40498;23.4;34.1;22.5;6.1;5.9;27.24;64.75;1.333333;-12.05124043
40499;0;34.6;22.3;10.7;5;28.78;50.75;1.4;-12.28275525
40500;0;35.8;23.8;9.6;7.1;29.6;47;2.133333;-12.50854729
40501;0;34.3;23.8;9.2;8;28.94;55.75;1.633333;-12.72854964
40502;24.2;37;23.1;10.1;4.7;29.62;47.5;1.3;-12.94269709
40503;0;36.8;23.8;10.9;7.3;29.92;49.75;1.266667;-13.15092621
40504;0;35.6;26.5;11.1;9.8;30;46.75;1.6;-13.35317529
40505;0;36.4;23.2;11;7.5;30.08;46.75;1.233333;-13.54938439
40506;0;36.6;26.5;10.9;9.9;30.9;48;1.4;-13.73949537
40507;0;36.8;24.8;9;10.7;30.24;45.75;1.633333;-13.9234519
40508;0;38.3;22.7;10.6;9.7;30.78;45.5;0.966667;-14.10119948
40509;2.8;37.5;25.8;11.2;10.8;30.94;44.5;1.4;-14.27268542
40510;0;37;25.6;8.9;10.2;30;54.25;1.6;-14.43785892
40511;0;36.6;23.3;6.6;10;28.62;51.5;1.433333;-14.59667102
40512;0;37.3;23.7;10.8;9.6;30.44;42.25;1.766667;-14.74907468
40513;0;37.6;22.2;11.6;10.3;29.88;28.75;2.033333;-14.89502473
40514;0;36.3;22.6;6.4;12.7;29.78;34.25;1.866667;-15.03447792
40515;0;37.8;22.3;9.8;10.5;30.78;33.5;1.733333;-15.16739293
40516;0;38.2;27.6;10.1;10;32.16;36;1.433333;-15.29373038
40517;0;37.8;26.3;9.8;11.1;31.7;36.25;1.7;-15.41345282
40518;0;36.3;26.7;7.1;11.4;29.88;53.25;1.733333;-15.52652478
40519;0;37.1;23.8;9.3;10.3;30.62;41;1.366667;-15.63291275
40520;0;36.1;26.7;5;9.1;29.8;52.5;2.8;-15.73258522
40521;0.4;29.8;23.1;0;5.1;26.18;67.75;1.166667;-15.82551264
40522;0;28.8;24.7;0;4.1;26.34;71.75;0.766667;-15.91166747
40523;1.2;31.1;23.6;0;3;26.94;64.75;1.966667;-15.9910242
40524;0;33.3;22.7;0.8;5.7;25.92;71.5;1.966667;-16.0635593
40525;54.4;29.6;21.8;1.5;1.6;25.44;82;0.8;-16.12925128
40526;5.8;31.6;23.1;3.4;2.8;25.78;78;2.2;-16.18808068
40527;0;27.8;22.2;0.6;2.6;24.72;78.5;0.866667;-16.24003005
40528;0.3;33;22.7;6.4;2.4;27.18;54.75;1.2;-16.28508402
40529;3.8;27.1;23.1;0;6.6;24.32;91.25;0.966667;-16.32322922
40530;7.4;28.5;23.1;0;0.9;24.68;78;1;-16.35445436
40531;0;32.8;20.6;6.7;1.3;25.64;66.75;2.033333;-16.37875017
40532;0;33.3;23.1;8.9;3.8;27.36;51.5;2.233333;-16.39610947
40533;0;34.1;22.6;10.3;9.4;27.58;57.25;2.1;-16.40652711
40534;1.2;34.5;23.6;11.4;8.8;28.34;58.25;1.933333;-16.41
40535;0;35.4;21.8;10.6;5.8;27.8;51;1.9;-16.40652711
40536;0;32.8;22.8;4.5;6;27.68;58.25;1.133333;-16.39610947
40537;0;31.3;23.1;0.8;5.4;27.16;62.25;0.866667;-16.37875017
40538;0;34.5;22.8;10;4.2;28.22;46.25;1.866667;-16.35445436
40539;0;34.4;21.1;11;6.9;27.62;51.25;1.3;-16.32322922
