@relation 'AirQualityUCI all numeric random- custer-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-unset-class-temporarily'

@attribute Date numeric
@attribute Time numeric
@attribute CO(GT) numeric
@attribute PT08S1(CO) numeric
@attribute C6H6(GT) numeric
@attribute PT08S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08S4(NO2) numeric
@attribute PT08S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
0.545455,0.608696,0.127119,0.231874,0.11478,0.267613,0.058226,0.227446,0.331361,0.392086,0.167246,0.860215,0.161006,0.613546
1,0.956522,0.161017,0.342426,0.139937,0.303659,0.196344,0.175773,0.343195,0.258543,0.476108,0.28172,0.451572,0.203147
0.636364,0,?,0.306533,0.143082,0.309121,0.069059,0.150784,0.257396,0.539568,0.330582,0.632258,0.532075,0.821825
0.272727,0.391304,0.101695,0.228284,0.066038,0.189514,0.137441,0.202033,0.369822,0.218975,0.187228,0.387097,0.406289,0.279138
0.181818,0.956522,0.169492,0.364681,0.127358,0.287275,0.169262,0.119441,0.420118,0.350719,0.444396,0.346237,0.706918,0.422714
0.545455,0.782609,0.338983,0.46949,0.265723,0.451666,0.0826,0.127488,0.408284,0.567446,0.404865,0.892473,0.120755,0.565215
0.181818,0.478261,0.127119,0.325915,0.09434,0.237029,0.19499,0.163066,0.411243,0.272482,0.348827,0.391398,0.431447,0.300103
0.636364,0.695652,0.110169,0.269921,0.11478,0.268706,0.054841,0.196103,0.204142,0.467176,0.212858,0.823656,0.225157,0.702683
0.818182,0,0.194915,0.341709,0.154088,0.322228,0.23629,0.155866,0.313609,0.435701,0.337967,0.412903,0.889308,0.674192
0.454545,0,0.245763,?,?,?,0.079215,?,0.286982,?,?,?,?,?
0.181818,0.434783,0.144068,0.306533,0.106918,0.257236,0.076506,0.30072,0.239645,0.419514,0.239357,0.425806,0.367296,0.290573
0.454545,0.565217,0.186441,0.309404,0.220126,0.403058,0.099526,0.21008,0.346154,0.564299,0.322328,0.812903,0.145912,0.501197
0.818182,0.347826,0.084746,0.288586,0.097484,0.241944,0.100203,0.187632,0.14497,0.436151,0.302346,0.51828,0.704403,0.753018
0.181818,0.826087,0.491525,0.774587,0.482704,0.64828,0.444821,0.015671,0.585799,0.660971,0.749783,0.473118,0.427673,0.400919
0.181818,0.652174,0.110169,0.524767,0.22327,0.405243,0.25457,0.076239,0.420118,0.472122,0.503475,0.503226,0.485535,0.499096
1,0.347826,0.254237,0.478823,0.246855,0.431458,0.396073,0.113088,0.325444,0.483813,0.44179,0.313978,0.855346,0.461858
0,0.652174,0.262712,0.379756,0.265723,0.45112,0.342586,0.112664,0.532544,0.320594,0.550391,0.307527,0.240252,0.108928
0.272727,0,0.127119,0.356066,0.097484,0.241398,0.063643,0.281237,0.248521,0.416367,0.328844,0.298925,0.659119,0.329668
0.727273,0.652174,0.194915,0.359655,0.234277,0.418351,0.221395,0.254977,0.443787,0.414568,0.358818,0.802151,0.093082,0.368372
0.454545,0.608696,0.09322,0.259153,0.111635,0.26379,0.037915,0.260483,0.195266,0.459532,0.205908,0.815054,0.142138,0.495919
1,1,0.152542,0.292175,0.086478,0.224468,0.157752,0.215163,0.269231,0.328687,0.289314,0.331183,0.869182,0.500904
1,0.086957,0.09322,0.181622,0.058176,0.173676,0.077861,0.691656,0.218935,0.258993,0.229366,0.236559,0.890566,0.364169
0.090909,0.173913,?,0.363963,0.084906,0.221191,0.149628,0.163914,0.426036,0.231115,0.507819,0.150538,0.713208,0.194497
0.181818,0.652174,0.186441,0.442929,0.201258,0.381212,0.213947,0.098687,0.517751,0.347122,0.317116,0.597849,0.159748,0.262034
0.181818,0.521739,0.127119,0.422828,0.080189,0.213545,0.069059,0.414655,0.275148,0.382194,0.192441,0.245161,0.724528,0.298294
0.818182,0.521739,0.271186,0.549892,0.306604,0.492627,0.27759,0.083016,0.292899,0.598921,0.557776,0.608602,0.460377,0.66867
0.272727,0.608696,0.220339,0.470926,0.22956,0.412889,0.101557,0.198221,0.366864,0.544065,0.398349,0.572043,0.267925,0.367688
0.727273,0.826087,0.627119,0.597272,0.616352,0.749863,0.509817,0.060991,0.612426,0.725719,0.732841,0.535484,0.306918,0.364316
0.909091,0.782609,0.186441,0.368988,0.15566,0.325505,0.179418,0.184668,0.33432,0.370504,0.395743,0.4,0.605031,0.438157
0.636364,0.652174,?,0.045944,0.042453,0.14036,?,0.382042,?,0.239658,0.073849,0.827957,0.032704,0.257049
0.090909,0.652174,0.271186,0.617373,0.245283,0.42982,0.387271,0.070309,0.656805,0.378147,0.772372,0.277419,0.530818,0.238381
0.181818,0.565217,0.186441,0.379756,0.152516,0.320044,?,0.122829,?,0.290018,0.468723,0.445161,0.213836,0.185212
0.181818,0.347826,0.338983,0.579325,0.314465,0.500273,0.582938,0.057179,0.43787,0.474371,0.630756,0.144086,0.822642,0.22592
0.909091,0.26087,0.033898,0.094042,0.017296,0.073184,0.063643,0.426938,0.180473,0.152428,0.125543,0.260215,0.432704,0.173875
0.636364,0.521739,?,0.356066,0.220126,0.401966,?,0.121982,?,0.548112,0.383145,0.724731,0.267925,0.597957
0,0.043478,?,0.10122,0.012579,0.0568,0.035884,0.433715,0.139053,0.098022,0.046916,0.126882,0.485535,0.102233
0.272727,0.652174,?,0.491027,0.185535,0.362097,?,0.237188,?,0.48741,0.297133,0.578495,0.230189,0.328789
0.909091,0.086957,0.288136,0.492462,0.261006,0.44675,0.237644,0.097416,0.195266,0.546763,0.740226,0.462366,0.805031,0.718174
0,0.956522,0.076271,0.156497,0.025157,0.097215,0.068382,0.330368,0.239645,0.107914,0.092528,0.103226,0.500629,0.091775
0.363636,0.130435,0.084746,0.211055,0.086478,0.223375,?,0.276578,?,0.380396,0.290182,0.35914,0.520755,0.324586
0.181818,0.73913,0.152542,0.347452,0.133648,0.296013,0.185511,0.133842,0.428994,0.272932,0.264987,0.604301,0.128302,0.226946
0.454545,0.826087,0.372881,0.437186,0.391509,0.571819,0.171293,0.14316,0.497041,0.719424,0.503475,0.703226,0.226415,0.487954
0.909091,1,0.338983,0.476669,0.262579,0.447843,0.513879,0.093181,0.357988,0.403327,0.524327,0.206452,0.944654,0.343742
0.909091,0.478261,0.025424,0.014358,0.007862,0.039323,0.042654,0.590428,0.12426,0.105665,0.034752,0.286022,0.298113,0.126472
0.727273,0.043478,0.101695,0.21967,0.108491,0.259421,0.090724,0.177891,0.227811,0.446493,0.242832,0.531183,0.620126,0.691248
0.454545,0.304348,0.364407,0.45944,0.386792,0.567996,0.209208,0.121982,0.337278,0.794964,0.547785,0.490323,0.504403,0.498558
0.727273,1,0.135593,0.312994,0.144654,0.310213,0.149628,0.236341,0.381657,0.378597,0.361859,0.580645,0.333333,0.458144
0.454545,0.782609,0.254237,0.325197,0.261006,0.447297,0.102911,0.173655,0.431953,0.586781,0.340139,0.703226,0.245283,0.52094
0.545455,0.391304,?,0.513281,0.273585,0.459858,0.169262,0.096993,0.461538,0.652878,0.69722,0.645161,0.412579,0.678688
0.181818,0.652174,0.067797,0.270639,0.040881,0.134899,0.070413,0.228717,0.189349,0.309802,0.140313,0.389247,0.788679,0.553389
0.363636,0.608696,?,0.278536,0.073899,0.203168,?,0.285896,?,0.436151,0.168115,0.376344,0.71195,0.475492
0.545455,0.652174,0.152542,0.370424,0.18239,0.358274,0.078538,0.169843,0.352071,0.567896,0.289748,0.853763,0.222642,0.759664
0.909091,0.608696,0.313559,0.586504,0.327044,0.512288,0.346649,0.064803,0.384615,0.558903,0.599044,0.507527,0.573585,0.595074
0.545455,0.173913,?,0.121321,0.039308,0.131622,0.026405,0.318086,0.159763,0.391637,0.220678,0.464516,0.530818,0.480917
0.181818,0.608696,0.177966,0.376167,0.15566,0.324413,0.196344,0.121135,0.414201,0.307104,0.297133,0.51828,0.205031,0.239701
0,0.217391,0.076271,0.266332,0.072327,0.198252,0.122546,0.202457,0.239645,0.278777,0.320156,0.255914,0.825157,0.357426
0.272727,0.956522,?,0.351041,0.122642,0.280175,?,0.252859,?,0.482014,0.32146,0.406452,0.52327,0.386258
0.272727,1,0.228814,0.56425,0.212264,0.393774,0.115098,0.152054,0.281065,0.595773,0.516942,0.406452,0.773585,0.572106
0.818182,0.782609,0.491525,0.585786,0.441824,0.614418,0.438727,0.061838,0.39645,0.692896,0.629453,0.477419,0.72327,0.674828
0.272727,0.608696,0.262712,0.552046,0.342767,0.527034,0.113067,0.153325,0.366864,0.63759,0.481755,0.636559,0.21761,0.383424
0.818182,0.73913,?,0.691314,0.572327,0.717641,?,0.036002,?,0.780576,0.690269,0.464516,0.611321,0.551776
0.727273,0.826087,0.474576,0.709978,0.471698,0.638995,0.346649,0.053791,0.485207,0.709982,0.662033,0.548387,0.568553,0.676343
0.181818,1,0.118644,0.345298,0.09434,0.237575,0.163846,0.149089,0.434911,0.272032,0.470026,0.324731,0.533333,0.289205
0.272727,0.086957,0.152542,0.325197,0.099057,0.243583,0.068382,0.239305,0.239645,0.455935,0.326238,0.313978,0.90566,0.488785
0.636364,0.434783,?,0.350323,0.177673,0.353359,?,0.144007,?,0.556655,0.383579,0.722581,0.345912,0.732835
0.181818,0.478261,0.237288,0.567839,0.240566,0.424904,0.148274,0.210504,0.393491,0.553507,0.596872,0.494624,0.304403,0.313639
0.909091,0.086957,0.313559,0.557789,0.232704,0.416166,0.387271,0.135112,0.35503,0.418615,0.60556,0.307527,0.87044,0.460441
0.272727,0.391304,0.381356,0.678392,0.386792,0.567996,0.216655,0.108005,0.426036,0.721223,0.819722,0.455914,0.467925,0.410546
0.545455,0.173913,0.025424,0.106963,0.040881,0.138176,0.018957,0.326133,0.112426,0.375899,0.154214,0.483871,0.516981,0.498167
0.272727,0.478261,0.194915,0.413496,0.198113,0.377936,0.109682,0.21008,0.325444,0.506745,0.424414,0.455914,0.314465,0.27948
0.818182,0.347826,?,0.506102,0.413522,0.590934,?,0.07158,?,0.650629,0.608167,0.43871,0.708176,0.583492
1,0.26087,0.161017,0.433597,0.133648,0.295467,0.155044,0.136383,0.307692,0.3125,0.585143,0.232258,0.771069,0.303426
0.818182,1,0.211864,0.470208,0.204403,0.385035,0.182126,0.115205,0.242604,0.489209,0.46742,0.470968,0.758491,0.696965
0.454545,0.608696,0.169492,0.372577,0.191824,0.370836,0.0826,0.171114,0.378698,0.572842,0.305387,0.84086,0.205031,0.687436
0.636364,0.391304,0.076271,0.262024,0.097484,0.240852,0.019634,0.203727,0.109467,0.477068,0.212424,0.707527,0.423899,0.833798
0.727273,0.217391,0.033898,0.126346,0.040881,0.135445,0.045362,0.325286,0.133136,0.338579,0.195482,0.475269,0.649057,0.605776
0.181818,0.782609,0.322034,0.619526,0.301887,0.488258,0.138118,0.207539,0.434911,0.611061,0.516507,0.365591,0.38239,0.240385
0.363636,0.130435,?,0.117014,0.058176,0.171491,?,0.380771,?,0.346223,0.19722,0.395699,0.495597,0.350926
0.909091,0.869565,?,0.389088,0.361635,0.545057,?,0.103346,?,0.459982,0.523458,0.245161,0.612579,0.24581
0.727273,0.782609,?,0.431443,0.407233,0.584926,?,0.096569,?,0.614209,0.59861,0.817204,0.135849,0.484777
0.636364,0.173913,?,0.184494,0.073899,0.202075,?,0.206269,?,0.439748,0.236751,0.492473,0.725786,0.713825
0.181818,0.782609,0.110169,0.262024,0.072327,0.198252,0.056872,0.360864,0.248521,0.33723,0.145091,0.376344,0.324528,0.211259
0.363636,0.130435,0.025424,0.161522,0.025157,0.098853,?,0.407454,?,0.375,0.118593,0.376344,0.70566,0.470948
0.272727,0.304348,0.152542,0.291457,0.116352,0.271436,0.077183,0.279543,0.263314,0.410522,0.245439,0.350538,0.432704,0.257343
0.363636,0.217391,0,0.073223,0.009434,0.04533,0.014218,0.627277,0.079882,0.241906,0.037359,0.387097,0.343396,0.234228
0.909091,0.956522,0.09322,0.184494,0.073899,0.202622,0.129316,0.257518,0.331361,0.279227,0.253692,0.305376,0.807547,0.422372
0.181818,0.434783,0.042373,0.351041,0.095912,0.23976,0.146242,0.140195,0.378698,0.284622,0.227194,0.363441,0.495597,0.313053
0.454545,0.521739,0.177966,0.291457,0.204403,0.384489,0.109005,0.186785,0.307692,0.544514,0.348393,0.791398,0.142138,0.460929
0.272727,0.347826,0.279661,0.544149,0.311321,0.498088,0.107651,0.133842,0.298817,0.680755,0.502606,0.443011,0.608805,0.511948
0.363636,0.869565,0.313559,0.521177,0.287736,0.474604,0.137441,0.147395,0.449704,0.601619,0.479583,0.533333,0.343396,0.402483
0.363636,0.782609,?,0.347452,0.353774,0.537957,?,0.258789,?,0.519784,0.461772,0.655914,0.119497,0.262376
0.727273,0.695652,?,0.346734,0.216981,0.398689,?,0.149089,?,0.482014,0.393571,0.875269,0.10566,0.495138
0.181818,0.608696,0.09322,0.175162,0.069182,0.194975,0.118483,0.252859,0.360947,0.106565,0.122068,0.255914,0.201258,0.060206
1,0.826087,0.288136,0.557071,0.218553,0.400328,0.371022,0.09784,0.426036,0.440647,0.498697,0.305376,0.832704,0.435958
0.545455,0.347826,0.084746,0.223977,0.105346,0.25396,0.060257,0.227446,0.242604,0.459083,0.225022,0.578495,0.407547,0.545521
0,0.043478,0.262712,0.372577,0.152516,0.32059,0.328368,0.162219,0.482249,0.26304,0.471329,0.146237,0.728302,0.196257
1,0.73913,0.550847,0.661163,0.454403,0.625341,0.583615,0.056332,0.609467,0.499101,0.792789,0.243011,0.403774,0.14861
0.181818,0.347826,0.245763,0.569993,0.221698,0.404697,0.150305,0.224058,0.378698,0.57464,0.377063,0.255914,0.81761,0.355275
0.272727,0.608696,0.101695,0.211773,0.083333,0.219552,0.056872,0.314697,0.221893,0.366007,0.152042,0.464516,0.293082,0.271172
0.818182,0.304348,0.279661,0.488873,0.312893,0.498635,0.431957,0.086828,0.254438,0.57464,0.486533,0.378495,0.845283,0.572301
0.272727,0.434783,0.220339,0.407035,0.191824,0.370289,0.122546,0.193986,0.298817,0.49955,0.450043,0.460215,0.316981,0.287885
0.454545,1,0.177966,0.376167,0.204403,0.385035,0.11239,0.211775,0.233728,0.601619,0.395743,0.475269,0.704403,0.655036
0,0.086957,0.101695,0.333812,0.086478,0.222829,0.146242,0.187209,0.343195,0.299011,0.309731,0.324731,0.691824,0.384059
1,0.521739,0.135593,0.262742,0.086478,0.225014,0.140149,0.213469,0.233728,0.317446,0.272372,0.32043,0.761006,0.418121
0,0.782609,0.5,0.572864,0.446541,0.618788,0.537576,0.056332,0.615385,0.468975,0.749348,0.288172,0.355975,0.157406
0.090909,0.434783,0.338983,0.605887,0.268868,0.454397,0.593094,0.076662,0.573964,0.356115,0.789314,0.135484,0.623899,0.153057
0.727273,0.652174,0.228814,0.516152,0.272013,0.458766,0.207177,0.108429,0.352071,0.536421,0.46351,0.602151,0.420126,0.602307
0.727273,0.347826,?,0.320172,0.102201,0.247952,?,0.215163,?,0.417716,0.358818,0.516129,0.579874,0.618091
0.727273,0.608696,0.084746,0.170854,0.077044,0.208629,0.108328,0.294367,0.224852,0.322392,0.172893,0.634409,0.251572,0.427454
0.181818,0.26087,0.050847,0.231156,0.034591,0.122338,0.036561,0.44515,0.174556,0.347572,0.094266,0.305376,0.718239,0.373357
0,0.652174,0.067797,0.13855,0.02673,0.099945,0.067028,0.361711,0.218935,0.07464,0.063858,0.204301,0.23522,0.052778
0.727273,0.130435,0.042373,0.150036,0.055031,0.166029,?,0.268107,?,0.318795,0.219374,0.511828,0.491824,0.521673
0.727273,0.086957,0.042373,0.118449,0.036164,0.125614,0.035206,0.343499,0.133136,0.33768,0.175934,0.535484,0.563522,0.643259
0.363636,0.73913,0.033898,0.177315,0.080189,0.213545,0.042654,0.388395,0.239645,0.354317,0.163771,0.722581,0.08805,0.273811
0.363636,0.521739,0.118644,0.146447,0.127358,0.285636,0.058903,0.282507,0.275148,0.389838,0.140747,0.496774,0.232704,0.245174
0.181818,0.565217,0.279661,0.503948,0.256289,0.442381,0.371022,0.078357,0.553254,0.423561,0.646829,0.275269,0.543396,0.243317
0.545455,0.347826,?,0.455133,0.416667,0.593119,0.192959,0.07158,0.39645,0.732014,0.629018,0.556989,0.344654,0.435713
0,0.521739,0.211864,0.350323,0.185535,0.362643,0.356804,0.135112,0.440828,0.280576,0.503041,0.339785,0.290566,0.159801
1,0.173913,0.169492,0.318737,0.152516,0.321136,0.18348,0.161372,0.295858,0.268435,0.419635,0.156989,0.690566,0.19181
0,0.913043,0.135593,0.201005,0.062893,0.181322,0.165877,0.272342,0.47929,0.110612,0.212858,0.139785,0.309434,0.051361
0.727273,0.869565,0.313559,0.43575,0.283019,0.468596,0.283006,0.233376,0.476331,0.410072,0.52563,0.647312,0.196226,0.36715
0.727273,0,0.09322,0.229002,0.080189,0.213545,?,0.227446,?,0.360162,0.183753,0.569892,0.393711,0.513854
0.454545,0.173913,0.025424,0.088299,0.029874,0.110868,0.014895,0.425244,0.106509,0.378147,0.132928,0.488172,0.49434,0.48639
0,0.217391,0.059322,0.167265,0.037736,0.128345,0.083277,0.296908,0.251479,0.153777,0.307124,0.107527,0.63522,0.134731
0.181818,0.347826,0.423729,0.625987,0.41195,0.588749,0.420447,0.02033,0.408284,0.653777,0.619896,0.350538,0.71195,0.433954
0.727273,0.565217,0.050847,0.125628,0.036164,0.124522,?,0.368064,?,0.263939,0.079062,0.754839,0.12327,0.375605
1,0.869565,0.322034,0.333812,0.29717,0.482796,0.444821,0.147819,0.473373,0.314299,0.471764,0.27957,0.196226,0.069247
0.909091,0.086957,0.09322,0.221106,0.080189,0.214091,0.093433,0.215587,0.156805,0.364658,0.278454,0.419355,0.774843,0.599032
0.090909,0.652174,0.059322,0.175162,0.050314,0.155653,0.098172,0.283355,0.319527,0.120504,0.142485,0.249462,0.271698,0.091336
0.545455,0.347826,?,0.685571,0.558176,0.707264,0.23629,0.037272,0.434911,0.949191,0.818419,0.608602,0.466667,0.678053
1,0.130435,0.084746,0.174444,0.055031,0.166576,?,0.29352,?,0.155576,0.268897,0.292473,0.309434,0.135659
0.909091,0.608696,0.398305,0.506102,0.279874,0.465866,0.322952,0.08471,0.538462,0.498201,0.498262,0.423656,0.557233,0.439134
0.818182,0.608696,0.101695,0.275664,0.06761,0.190606,0.108328,0.232952,0.198225,0.415917,0.209818,0.466667,0.865409,0.783463
0,0.26087,0.076271,0.208184,0.056604,0.169853,0.129993,0.251165,0.233728,0.226169,0.258905,0.180645,0.886792,0.288521
0.363636,0.043478,0.050847,0.210337,0.064465,0.186237,0.028436,0.292249,0.195266,0.384892,0.280626,0.453763,0.432704,0.378439
0.272727,1,0.09322,0.325197,0.078616,0.210814,0.113744,0.16942,0.372781,0.267986,0.359687,0.348387,0.544654,0.324977
0.181818,0.304348,0.211864,0.499641,0.209119,0.389405,0.127962,0.218975,0.33432,0.465827,0.473501,0.296774,0.367296,0.170747
0.090909,0.782609,0.084746,0.199569,0.044025,0.145276,0.124577,0.288437,0.414201,0.120504,0.151607,0.189247,0.342138,0.087377
0.545455,0.695652,0.177966,0.293611,0.22327,0.406335,0.109005,0.174502,0.443787,0.513939,0.307124,0.825806,0.11195,0.441773
0.545455,0.391304,0.279661,0.437904,0.275157,0.46095,0.207177,0.122406,0.473373,0.630845,0.60252,0.615054,0.379874,0.572203
0.272727,0.565217,0.245763,0.466619,0.251572,0.43692,0.106297,0.187632,0.378698,0.54946,0.443527,0.548387,0.277987,0.349607
0.090909,0.043478,0.127119,0.348887,0.092767,0.233752,0.144211,0.16349,0.39645,0.283723,0.351868,0.258065,0.625157,0.26653
0.454545,0.26087,0.050847,0.176597,0.056604,0.170945,0.031144,0.290555,0.153846,0.448291,0.251955,0.516129,0.591195,0.632996
0.181818,0.478261,0.067797,0.181622,0.029874,0.108684,0.07109,0.321474,0.245562,0.108363,0.067767,0.28172,0.309434,0.12916
0.545455,1,0.118644,0.308686,0.110063,0.259967,0.046716,0.198221,0.210059,0.504496,0.218506,0.621505,0.47673,0.71964
0.363636,0.217391,0.09322,0.241206,0.100629,0.245767,0.077183,0.24227,0.295858,0.4375,0.343614,0.384946,0.61761,0.421932
0.636364,0.695652,?,0.272075,0.092767,0.234844,?,0.220669,?,0.410072,0.204605,0.875269,0.133333,0.570102
0.909091,0.826087,0.525424,0.546303,0.438679,0.611141,0.467163,0.134689,0.52071,0.580935,0.598175,0.290323,0.693082,0.339246
0.363636,0.086957,0.067797,0.189519,0.070755,0.196614,0.026405,0.309191,0.153846,0.368255,0.225022,0.4,0.430189,0.310121
0.636364,0.652174,0.076271,0.22972,0.069182,0.194975,0.032498,0.255824,0.142012,0.438399,0.14596,0.875269,0.203774,0.754288
0,0.173913,0.042373,0.224695,0.018868,0.081376,0.043331,0.312156,0.171598,0.256745,0.218506,0.31828,0.769811,0.420124
0.909091,0.913043,0.338983,0.366116,0.193396,0.371382,0.331077,0.246929,0.467456,0.379047,0.435274,0.270968,0.813836,0.37409
0.272727,0.086957,0.025424,0.111989,0.018868,0.078646,0.010156,0.504447,0.068047,0.270234,0.064292,0.344086,0.454088,0.263891
0.363636,0.565217,0.067797,0.211055,0.073899,0.202075,0.029113,0.36044,0.159763,0.341727,0.107298,0.698925,0.128302,0.317695
0.909091,0.956522,?,0.212491,0.124214,0.282359,?,0.209233,?,0.259892,0.366203,0.223656,0.63522,0.234667
0.181818,1,0.228814,0.346734,0.097484,0.243037,0.107651,0.136806,0.295858,0.329137,0.326672,0.391398,0.631447,0.442164
1,0.565217,0.262712,0.351041,0.194969,0.373566,0.321598,0.160949,0.431953,0.266187,0.467854,0.2,0.445283,0.135171
0.727273,0.652174,0.211864,0.386935,0.238994,0.423812,0.198375,0.134689,0.411243,0.517086,0.358384,0.690323,0.298113,0.587304
1,0.826087,0.194915,0.372577,0.138365,0.301475,0.240352,0.18382,0.331361,0.33723,0.397046,0.395699,0.579874,0.411474
0.454545,0,0.09322,0.171572,0.078616,0.209721,0.044685,0.310462,0.227811,0.441097,0.208949,0.505376,0.462893,0.483556
0.090909,0.26087,0.084746,0.270639,0.064465,0.186237,0.161814,0.208386,0.35503,0.176709,0.424414,0.083871,0.700629,0.137516
0.363636,0.217391,0.016949,0.199569,0.034591,0.12343,0.016249,0.358323,0.097633,0.365108,0.135534,0.412903,0.56478,0.426868
0.363636,0.086957,0.101695,0.26346,0.106918,0.25669,0.049425,0.237611,0.263314,0.443795,0.327541,0.391398,0.601258,0.422079
0.727273,0.521739,0.20339,0.362527,0.209119,0.391043,0.163169,0.149089,0.378698,0.485612,0.378801,0.703226,0.286792,0.594585
0.090909,0.130435,0.20339,0.386217,0.091195,0.231567,?,0.153748,?,0.22482,0.541268,0.148387,0.718239,0.193715
0.272727,0.086957,0.084746,0.228284,0.062893,0.181868,0.036561,0.324015,0.207101,0.374101,0.263249,0.217204,0.885535,0.333529
0.818182,0.130435,0.059322,0.212491,0.061321,0.178045,?,0.241847,?,0.358363,0.284535,0.475269,0.71195,0.66437
1,0.217391,0.016949,0.044508,0.006289,0.029492,0.019634,0.94748,0.073964,0.106115,0.044744,0.298925,0.353459,0.165763
0.818182,0.521739,?,0.361091,0.234277,0.418351,?,0.126218,?,0.505845,0.387489,0.529032,0.483019,0.544495
0.454545,0.434783,0.254237,0.394113,0.264151,0.450573,0.157075,0.162219,0.440828,0.642986,0.486533,0.688172,0.315723,0.614133
0.636364,1,0.118644,0.306533,0.117925,0.273621,0.0413,0.187209,0.162722,0.528327,0.268028,0.645161,0.56478,0.901285
